source,2010-01-01T00:00:00Z,2010-04-01T00:00:00Z,2010-05-01T00:00:00Z,2010-08-01T00:00:00Z,2010-09-01T00:00:00Z,2010-10-01T00:00:00Z,2010-11-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2011-02-01T00:00:00Z,2011-03-01T00:00:00Z,2011-04-01T00:00:00Z,2011-05-01T00:00:00Z,2011-06-01T00:00:00Z,2011-07-01T00:00:00Z,2011-08-01T00:00:00Z,2011-09-01T00:00:00Z,2011-10-01T00:00:00Z,2011-12-01T00:00:00Z,2012-01-01T00:00:00Z,2012-02-01T00:00:00Z,2012-03-01T00:00:00Z,2012-04-01T00:00:00Z,2012-05-01T00:00:00Z,2012-06-01T00:00:00Z,2012-07-01T00:00:00Z,2012-08-01T00:00:00Z,2012-09-01T00:00:00Z,2012-10-01T00:00:00Z,2012-11-01T00:00:00Z,2012-12-01T00:00:00Z,2013-01-01T00:00:00Z,2013-02-01T00:00:00Z,2013-03-01T00:00:00Z,2013-04-01T00:00:00Z,2013-05-01T00:00:00Z,2013-06-01T00:00:00Z,2013-08-01T00:00:00Z,2013-09-01T00:00:00Z,2013-10-01T00:00:00Z,2013-11-01T00:00:00Z,2013-12-01T00:00:00Z,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,2014-05-01T00:00:00Z,2014-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,2014-09-01T00:00:00Z,2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z
Power-to-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Powered exoskeleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
Precision agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,,,,,1.0,4.0,,,,,,,,,1.0,,,3.0,,,,2.0,4.0,3.0,4.0,,1.0,3.0,,3.0,2.0,,6.0,5.0,3.0,1.0,2.0,,3.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,1.0,
Predictive maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,9.0,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,
Proton Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadcopter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantum computing hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantum cryptography,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,6.0,,,,,,7.0,,,,,,,,,,,,,,,,7.0,,10.0,1.0,,,,,,,,3.0,,,1.0,,,,3.0,5.0,1.0,,,,,,,1.0,,2.0,2.0,,,,,,,1.0,,,,
Quantum dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,8.0,3.0,2.0,6.0,1.0,,1.0,,,2.0,2.0,,,1.0,,1.0,6.0,,1.0,2.0,,6.0,,4.0,,,,,,1.0,3.0,,3.0,1.0,5.0,,,,,6.0,1.0,3.0,4.0,16.0,,10.0,5.0,12.0,1.0,7.0,,6.0,,,3.0,2.0,,1.0,,1.0,6.0,,1.0,,,,2.0,,
Radio-frequency identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapid diagnostic test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,1.0,,,1.0,1.0,2.0,,,1.0,,,,1.0,1.0,1.0,1.0,5.0,,,,3.0,1.0,,,2.0,3.0,5.0,2.0,4.0,9.0,6.0,7.0,,,,,,1.0,,,,,,,,,,,,,
Rapid transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
Real-time polymerase chain reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regenerative Medicine,,,,,1.0,,1.0,9.0,,,1.0,1.0,,,,,,,,,,,,,,,3.0,,2.0,1.0,3.0,7.0,3.0,,,2.0,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,13.0,53.0,48.0,92.0,60.0,114.0,135.0,80.0,54.0,67.0,53.0,60.0,52.0,120.0,67.0,87.0,9.0,51.0,27.0,28.0,66.0,38.0,47.0,28.0,49.0,33.0,26.0,31.0,28.0,58.0,32.0,28.0,35.0,56.0,52.0,60.0,51.0,81.0,34.0,72.0,56.0,65.0,46.0,33.0,38.0,18.0,29.0,67.0,54.0,146.0,68.0,65.0,109.0,67.0,26.0,34.0,46.0,59.0,30.0,26.0,9.0,28.0,10.0,28.0,37.0,19.0,19.0,26.0,33.0,17.0,14.0,23.0,12.0
Semantic Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senolytic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shape Memory Polymer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
Shape-memory alloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Cell Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,5.0,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
Smart grid,,,,1.0,,,,,,,,,1.0,,,,,,,,,2.0,,1.0,,,,,,,1.0,1.0,3.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,8.0,9.0,,,,1.0,5.0,,,1.0,2.0,2.0,,,1.0,3.0,,1.0,2.0,1.0,,11.0,,2.0,7.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,1.0,,2.0,1.0,,,2.0,2.0,2.0,,,3.0,,,2.0,,1.0,,4.0,,,2.0,,1.0,,,,
Smartphone,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,11.0,3.0,3.0,3.0,8.0,2.0,2.0,3.0,2.0,,,1.0,3.0,13.0,3.0,,10.0,2.0,1.0,11.0,4.0,1.0,10.0,2.0,9.0,6.0,4.0,7.0,4.0,2.0,1.0,5.0,2.0,1.0,8.0,1.0,6.0,18.0,13.0,6.0,7.0,,15.0,5.0,24.0,7.0,3.0,9.0,4.0,12.0,27.0,27.0,7.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,1.0,,2.0,2.0,8.0,3.0,6.0,1.0,13.0,,1.0,5.0
Solid-state transformer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space-based solar power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spintronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,11.0,,,6.0,13.0,1.0,8.0,1.0,,6.0,8.0,,10.0,1.0,3.0,4.0,2.0,,3.0,,2.0,6.0,6.0,10.0,9.0,4.0,6.0,1.0,1.0,,7.0,,2.0,6.0,,,5.0,,,1.0,2.0,,16.0,,1.0,4.0,1.0,,9.0,2.0,,9.0,4.0,1.0,6.0,,,5.0,,,5.0,,,7.0,2.0,,6.0,,,3.0,,
Stem-cell therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,1.0,,4.0,,19.0,,,,,,10.0,8.0,2.0,3.0,2.0,4.0,9.0,5.0,5.0,3.0,3.0,,,9.0,7.0,2.0,1.0,,2.0,3.0,3.0,3.0,,,,7.0,3.0,3.0,1.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,,1.0,1.0,,,2.0,1.0,1.0,8.0,7.0,1.0,,1.0,1.0,,3.0
Structural health monitoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,1.0,1.0,,3.0,,,,,5.0,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,
Superalloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Supercapacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,5.0,,,3.0,,,1.0,,6.0,,,,,,,,,1.0,,1.0,,,10.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,4.0,
Supersonic transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Suspended animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Targeted drug delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,2.0,,,,,5.0,,,,,,,,,,2.0,,,2.0,,2.0,2.0,,,,,4.0,3.0,,1.0,,6.0,,,,,,,,,,,,1.0,4.0,5.0,1.0,,,,,,,,3.0,,,,1.0,,,,,,
Third-generation biofuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thorium fuel cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triboelectric Nanogenerator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
VTOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical farming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,4.0,,,,,,,2.0,,,,4.0,1.0,,,,,2.0,,,,,5.0,2.0,6.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,3.0
Virotherapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,6.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,9.0,,2.0,5.0,,1.0,1.0,,,3.0,4.0,5.0,2.0,3.0,11.0,4.0,3.0,3.0,9.0,,8.0,10.0,3.0,6.0,6.0,3.0,5.0,4.0,2.0,1.0,3.0,4.0,13.0,11.0,2.0,6.0,1.0,7.0,2.0,4.0,11.0,1.0,4.0,4.0,4.0,5.0,7.0,1.0,2.0,5.0,3.0,,,,5.0,1.0,5.0,,2.0,1.0,,2.0,2.0,,2.0,6.0,3.0,2.0,6.0
Virtual retinal display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visible Light Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,
Volumetric display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
Vortex engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wireless power transfer,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,4.0,,,,1.0,,,3.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,
Zeolite,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,,,9.0,1.0,,,1.0,,1.0,5.0,,1.0,1.0,,,,7.0,,,,,,,,,,,,,,,,,1.0,,,1.0
Zero-energy building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
aquaponics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cellular agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,
concentrated solar power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,11.0,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
hydrogen vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,
hydroponics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,7.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
second-generation biofuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,3.0,8.0,1.0,2.0,,4.0,2.0,,4.0,,,,1.0,,1.0,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,1.0,2.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,
self assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
three-dimensional integrated circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wi-fi 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,,,,
