source,2010-01-01T00:00:00Z,2010-02-01T00:00:00Z,2010-03-01T00:00:00Z,2010-04-01T00:00:00Z,2010-05-01T00:00:00Z,2010-06-01T00:00:00Z,2010-07-01T00:00:00Z,2010-08-01T00:00:00Z,2010-09-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2011-02-01T00:00:00Z,2011-03-01T00:00:00Z,2011-04-01T00:00:00Z,2011-05-01T00:00:00Z,2011-07-01T00:00:00Z,2011-08-01T00:00:00Z,2011-09-01T00:00:00Z,2011-10-01T00:00:00Z,2011-11-01T00:00:00Z,2011-12-01T00:00:00Z,2012-01-01T00:00:00Z,2012-02-01T00:00:00Z,2012-03-01T00:00:00Z,2012-04-01T00:00:00Z,2012-05-01T00:00:00Z,2012-06-01T00:00:00Z,2012-07-01T00:00:00Z,2012-08-01T00:00:00Z,2012-09-01T00:00:00Z,2012-10-01T00:00:00Z,2012-11-01T00:00:00Z,2012-12-01T00:00:00Z,2013-01-01T00:00:00Z,2013-02-01T00:00:00Z,2013-03-01T00:00:00Z,2013-04-01T00:00:00Z,2013-05-01T00:00:00Z,2013-06-01T00:00:00Z,2013-07-01T00:00:00Z,2013-08-01T00:00:00Z,2013-09-01T00:00:00Z,2013-10-01T00:00:00Z,2013-11-01T00:00:00Z,2013-12-01T00:00:00Z,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,2014-05-01T00:00:00Z,2014-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,2014-09-01T00:00:00Z,2014-10-01T00:00:00Z,2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z,2021-01-01T00:00:00Z
Distributed ledger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,1.0,5.0,4.0,2.0,,1.0,3.0,3.0,,,3.0,3.0,,2.0,,6.0,,,1.0,,2.0,1.0,2.0,2.0,,1.0,,2.0,3.0,2.0,1.0,11.0,5.0,4.0,,1.0,,2.0,,,,1.0,,,,1.0,2.0,,,,1.0,,,,
Document automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug-eluting stent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,
Dye-sensitized solar cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,1.0,2.0,,,,4.0,,1.0,1.0,,,3.0,2.0,1.0,,,,,,,2.0,,,,,,,,9.0,,3.0,,,,,,1.0,,,,,,,,4.0,,,,
Edge Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,,,,5.0,,,,5.0,4.0,18.0,,11.0,1.0,7.0,4.0,8.0,,,13.0,11.0,2.0,8.0,2.0,13.0,2.0,32.0,,,4.0,2.0,7.0,,3.0,1.0,4.0,11.0,4.0,5.0,6.0,9.0,4.0,1.0,10.0,1.0,5.0,,5.0,12.0,2.0,
Electric vehicle,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,,2.0,,,1.0,,1.0,,,,,,,2.0,,1.0,,,1.0,,1.0,,,,1.0,,,1.0,2.0,2.0,1.0,,,10.0,8.0,28.0,34.0,21.0,15.0,23.0,36.0,17.0,17.0,12.0,9.0,16.0,40.0,22.0,29.0,3.0,13.0,6.0,6.0,16.0,9.0,12.0,16.0,26.0,25.0,22.0,12.0,26.0,20.0,15.0,27.0,18.0,32.0,21.0,45.0,15.0,50.0,29.0,22.0,16.0,29.0,29.0,21.0,10.0,10.0,12.0,10.0,10.0,39.0,21.0,24.0,22.0,69.0,19.0,29.0,7.0,21.0,8.0,15.0,18.0,9.0,11.0,14.0,12.0,9.0,3.0,10.0,9.0,110.0,15.0,23.0,11.0,
Electron-beam additive manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic cigarette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,8.0,2.0,4.0,1.0,5.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,3.0,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
Electronic skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,3.0,2.0,1.0,,2.0,8.0,,,,2.0,8.0,,,2.0,2.0,,,,2.0,,1.0,,1.0,2.0,,,3.0,,
Energy harvesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,11.0,13.0,,3.0,14.0,,,3.0,1.0,2.0,2.0,,,2.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,1.0,3.0,,3.0,3.0,8.0,10.0,,2.0,2.0,7.0,,1.0,1.0,2.0,1.0,1.0,2.0,,5.0,1.0,2.0,2.0,,,,,2.0,,,1.0,1.0,2.0,2.0,,,2.0,,,,1.0,
Eutectic system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exascale computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,9.0,,,2.0,,,,,,2.0,2.0,,,,,,,,,3.0,,1.0,,,,1.0,3.0,,,11.0,15.0,1.0,,1.0,,2.0,1.0,,2.0,2.0,,,,,,,1.0,,4.0,2.0,,,1.0,1.0,,5.0,,,,3.0,,,,,,,,,,
Exhalation delivery system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
Extended Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
Extreme ultraviolet lithography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,2.0,,,,,1.0,,,,,,,,2.0,,,1.0,,
Facial recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,1.0,,,,1.0,4.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,2.0,,2.0,1.0,,,5.0,,,,3.0,,10.0,9.0,2.0,4.0,3.0,5.0,7.0,1.0,6.0,1.0,2.0,1.0,,6.0,5.0,6.0,1.0,2.0,4.0,2.0,,2.0,1.0,,2.0,3.0,,3.0,,2.0,1.0,8.0,1.0,,6.0,2.0,,,2.0,
Flexible display,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,12.0,,1.0,2.0,4.0,1.0,,,,,,,,,,1.0,5.0,,,,8.0,,3.0,1.0,1.0,,1.0,,1.0,,,,2.0,2.0,,,1.0,3.0,,1.0,,2.0,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,3.0,,11.0,,
Flexible electronics,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,5.0,,,6.0,1.0,1.0,,4.0,2.0,,,,14.0,,,,,6.0,5.0,2.0,,1.0,,5.0,2.0,6.0,3.0,1.0,4.0,,2.0,2.0,1.0,,,,3.0,1.0,,2.0,,,5.0,,,3.0,1.0,1.0,,,,,,,,,1.0,,,4.0,1.0,2.0,,,,,1.0,,,,
Flexible organic light-emitting diode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flywheel energy storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
Force Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel cell,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,1.0,2.0,,,,,,,,1.0,,,,,2.0,,,1.0,,,,,,2.0,1.0,,2.0,,2.0,,4.0,1.0,1.0,2.0,1.0,1.0,,1.0,,16.0,24.0,16.0,24.0,46.0,35.0,34.0,15.0,9.0,7.0,5.0,33.0,11.0,24.0,26.0,27.0,5.0,10.0,3.0,9.0,6.0,20.0,13.0,17.0,7.0,10.0,12.0,8.0,12.0,9.0,8.0,12.0,14.0,13.0,15.0,19.0,7.0,14.0,18.0,26.0,13.0,18.0,44.0,24.0,21.0,16.0,19.0,14.0,33.0,32.0,41.0,27.0,53.0,23.0,12.0,17.0,8.0,11.0,11.0,6.0,6.0,16.0,17.0,15.0,7.0,5.0,29.0,17.0,8.0,25.0,14.0,25.0,24.0,
Fuel cell vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,14.0,6.0,,,1.0,,,14.0,,,,,,,1.0,,,1.0,,,,1.0,3.0,1.0,3.0,1.0,,2.0,1.0,1.0,,2.0,,1.0,1.0,,,2.0,,,2.0,,,,,3.0,6.0,,,,3.0,1.0,,,,,,,,,,,,,,2.0,1.0,2.0,,
Fullerene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,
Fusion power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,2.0,,,,,,,,,,,3.0,,,,,,,,,,,,5.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,1.0,
Gallium Nitride semiconductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,4.0,,2.0,2.0,3.0,,,,,2.0,,,,4.0,,3.0,1.0,,,2.0,1.0,,,,,,,,1.0,,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,
Gas-cooled fast reactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Gasification,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,5.0,,2.0,2.0,4.0,2.0,1.0,5.0,1.0,6.0,,,1.0,3.0,2.0,,,2.0,1.0,1.0,5.0,,2.0,1.0,,,,2.0,2.0,1.0,1.0,1.0,,,3.0,2.0,,6.0,,1.0,,,18.0,,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,5.0,,,,,,1.0,1.0,,,,,,,1.0,2.0,,
Gene Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,4.0,4.0,2.0,3.0,1.0,3.0,1.0,4.0,13.0,5.0,1.0,10.0,,10.0,4.0,2.0,5.0,14.0,9.0,17.0,1.0,10.0,11.0,6.0,,5.0,,4.0,6.0,8.0,8.0,5.0,2.0,17.0,13.0,4.0,8.0,26.0,11.0,2.0,14.0,14.0,11.0,17.0,4.0,15.0,15.0,4.0,13.0,10.0,2.0,2.0,,1.0,,6.0,1.0,1.0,,9.0,,4.0,,3.0,3.0,9.0,2.0,3.0,4.0,
Genetically modified crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,2.0,,3.0,2.0,3.0,,,1.0,,1.0,,,,,,1.0,1.0,2.0,,,,4.0,,3.0,,2.0,,1.0,,1.0,1.0,,,,6.0,3.0,,2.0,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,
Genetically modified food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Genetically modified organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,1.0,1.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Gesture recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.0,5.0,,,,,1.0,,4.0,1.0,1.0,1.0,,2.0,,1.0,3.0,3.0,11.0,2.0,,1.0,2.0,1.0,2.0,,4.0,2.0,,3.0,2.0,,1.0,,,1.0,,1.0,,2.0,3.0,,,2.0,3.0,2.0,16.0,,4.0,,5.0,3.0,,,,,,,,,,1.0,3.0,2.0,,,,,,1.0,
Graphene,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,1.0,,2.0,1.0,,1.0,,,1.0,14.0,29.0,19.0,11.0,16.0,21.0,28.0,17.0,28.0,20.0,21.0,52.0,18.0,43.0,32.0,26.0,9.0,35.0,15.0,9.0,7.0,20.0,19.0,7.0,28.0,15.0,31.0,16.0,12.0,11.0,11.0,16.0,11.0,15.0,6.0,6.0,31.0,16.0,5.0,11.0,4.0,39.0,26.0,11.0,13.0,14.0,18.0,29.0,3.0,8.0,13.0,23.0,18.0,6.0,8.0,7.0,4.0,4.0,6.0,12.0,1.0,8.0,6.0,10.0,11.0,7.0,2.0,4.0,3.0,7.0,5.0,9.0,3.0,
Grid energy storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,1.0,,,,,1.0,,1.0,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
Haptic technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,4.0,1.0,3.0,,,1.0,1.0,,,,1.0,,,,,,4.0,,,,,,,3.0,,,2.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,
High Entropy Alloys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
Holography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,9.0,,,,,,,,,,,2.0,,,1.0,,10.0,2.0,11.0,7.0,2.0,6.0,,,4.0,1.0,1.0,,1.0,1.0,,5.0,2.0,1.0,,,1.0,2.0,,2.0,1.0,2.0,6.0,,,4.0,,3.0,,1.0,,,1.0,,,1.0,,,1.0,,,,,4.0,3.0,,,1.0,
Hoverbike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,6.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen fuel,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,1.0,,9.0,5.0,3.0,5.0,,8.0,1.0,4.0,16.0,4.0,,1.0,2.0,5.0,1.0,4.0,1.0,1.0,,2.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,6.0,3.0,3.0,11.0,4.0,,5.0,1.0,10.0,4.0,2.0,1.0,5.0,4.0,4.0,1.0,5.0,5.0,12.0,12.0,10.0,10.0,5.0,7.0,1.0,8.0,5.0,4.0,1.0,1.0,10.0,2.0,,1.0,4.0,7.0,1.0,,12.0,2.0,5.0,8.0,
Hydrogen vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperloop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,3.0,,5.0,,3.0,1.0,,3.0,6.0,6.0,,2.0,5.0,3.0,,3.0,,20.0,,1.0,,3.0,,14.0,,,13.0,1.0,,,,1.0,2.0,,1.0,4.0,,1.0,,,,,,,,1.0,,1.0,,14.0,
Hypersonic weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
In-memory processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Indoor positioning system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,1.0,,,,
Intelligent toilet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelligent transportation system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,2.0,,,1.0,1.0,4.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Internet of things,,,,1.0,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,1.0,,,,1.0,1.0,,3.0,3.0,,,3.0,,1.0,,,,1.0,,,,,1.0,,3.0,1.0,1.0,1.0,3.0,,,1.0,,5.0,39.0,23.0,8.0,26.0,20.0,47.0,46.0,28.0,39.0,54.0,60.0,26.0,45.0,89.0,49.0,24.0,51.0,47.0,40.0,47.0,50.0,33.0,56.0,17.0,49.0,44.0,38.0,42.0,63.0,54.0,30.0,35.0,65.0,60.0,44.0,33.0,72.0,84.0,57.0,39.0,82.0,47.0,63.0,37.0,42.0,41.0,47.0,31.0,40.0,55.0,52.0,40.0,41.0,29.0,13.0,20.0,9.0,14.0,20.0,28.0,25.0,13.0,30.0,21.0,5.0,12.0,9.0,14.0,19.0,9.0,4.0,10.0,
Ion thruster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jet injector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,5.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
Jetpack,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab-on-a-chip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,9.0,5.0,,,,,1.0,2.0,2.0,1.0,8.0,,,1.0,,,,,,,,,4.0,,,3.0,,12.0,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,2.0,,,1.0,,,,,,,,
Laser video display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Laser weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
Lead-cooled fast reactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Learning Management System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,,2.0,,,,,,1.0,,,,2.0,,,
Li-Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,3.0,2.0,,1.0,,14.0,1.0,,2.0,,,2.0,6.0,,3.0,,1.0,,,1.0,,,3.0,,1.0,1.0,2.0,1.0,,1.0,,2.0,4.0,,4.0,1.0,,,1.0,1.0,1.0,8.0,,1.0,1.0,,2.0,6.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,
