source,2010-01-01T00:00:00Z,2010-02-01T00:00:00Z,2010-03-01T00:00:00Z,2010-04-01T00:00:00Z,2010-05-01T00:00:00Z,2010-06-01T00:00:00Z,2010-07-01T00:00:00Z,2010-08-01T00:00:00Z,2010-09-01T00:00:00Z,2010-10-01T00:00:00Z,2010-11-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2011-02-01T00:00:00Z,2011-03-01T00:00:00Z,2011-04-01T00:00:00Z,2011-05-01T00:00:00Z,2011-06-01T00:00:00Z,2011-07-01T00:00:00Z,2011-08-01T00:00:00Z,2011-09-01T00:00:00Z,2011-10-01T00:00:00Z,2011-11-01T00:00:00Z,2011-12-01T00:00:00Z,2012-01-01T00:00:00Z,2012-02-01T00:00:00Z,2012-03-01T00:00:00Z,2012-04-01T00:00:00Z,2012-05-01T00:00:00Z,2012-06-01T00:00:00Z,2012-07-01T00:00:00Z,2012-08-01T00:00:00Z,2012-09-01T00:00:00Z,2012-10-01T00:00:00Z,2012-11-01T00:00:00Z,2012-12-01T00:00:00Z,2013-01-01T00:00:00Z,2013-02-01T00:00:00Z,2013-03-01T00:00:00Z,2013-04-01T00:00:00Z,2013-05-01T00:00:00Z,2013-06-01T00:00:00Z,2013-07-01T00:00:00Z,2013-08-01T00:00:00Z,2013-09-01T00:00:00Z,2013-10-01T00:00:00Z,2013-11-01T00:00:00Z,2013-12-01T00:00:00Z,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,2014-05-01T00:00:00Z,2014-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,2014-09-01T00:00:00Z,2014-10-01T00:00:00Z,2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z
Quantum radar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,1.0,,2.0,1.0,,,,3.0,,,,2.0,4.0,,,,,,3.0,1.0,2.0,1.0,,3.0,,15.0,,4.0,6.0,2.0,3.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,,1.0,,,
Radio-frequency identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,,,,10.0,1.0,,,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,5.0,,9.0,1.0,,2.0,,,1.0,,2.0,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
Railgun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,4.0,,,,,,,,1.0,,,,,,,,,,1.0,,,16.0,9.0,,,6.0,2.0,,,,,,31.0,7.0,,,3.0,1.0,,,,,,,,,,,,,,,,,1.0,
Rapid diagnostic test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,
Rapid transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,3.0,,1.0,,1.0,1.0,1.0,3.0,6.0,4.0,,,,,,,,1.0,1.0,7.0,,9.0,3.0,4.0,,1.0,3.0,,8.0,2.0,,2.0,3.0,1.0,5.0,2.0,1.0,,,1.0,1.0,4.0,2.0,6.0,1.0,,1.0,,3.0,8.0,,,1.0,,1.0,1.0,2.0,,,1.0,5.0,,,1.0,,1.0,,,,
Real-time polymerase chain reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,2.0,,,,,
Regenerative Medicine,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,2.0,9.0,14.0,10.0,5.0,14.0,9.0,2.0,1.0,23.0,14.0,3.0,2.0,13.0,43.0,5.0,8.0,4.0,4.0,8.0,10.0,10.0,9.0,12.0,11.0,23.0,9.0,19.0,16.0,12.0,36.0,14.0,18.0,7.0,19.0,1.0,17.0,10.0,5.0,2.0,13.0,13.0,19.0,9.0,8.0,3.0,4.0,6.0,9.0,28.0,10.0,7.0,7.0,2.0,4.0,6.0,4.0,1.0,1.0,1.0,4.0,2.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,1.0,13.0,4.0
Self-cleaning surfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Semantic Web,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senolytic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shape Memory Polymer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shape-memory alloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
Silicene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Cell Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,2.0,1.0,1.0,1.0,2.0,1.0,,,13.0,2.0,,1.0,2.0,1.0,1.0,,,3.0,,2.0,,,,1.0,,,,,,,,,,,,,,,2.0,,,,4.0,,,,,
Single Photon Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skyhook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart grid,,2.0,1.0,,,1.0,,,2.0,,1.0,1.0,1.0,2.0,,,,,1.0,,1.0,2.0,,,,1.0,,,,,,,1.0,4.0,2.0,,4.0,6.0,1.0,2.0,,1.0,,,2.0,5.0,1.0,,2.0,4.0,,3.0,,,,1.0,,,,2.0,8.0,26.0,6.0,11.0,8.0,3.0,14.0,4.0,8.0,13.0,1.0,12.0,9.0,3.0,7.0,3.0,10.0,7.0,2.0,18.0,3.0,19.0,20.0,14.0,5.0,12.0,19.0,14.0,13.0,11.0,7.0,25.0,22.0,6.0,14.0,21.0,21.0,13.0,7.0,15.0,22.0,11.0,5.0,22.0,11.0,11.0,6.0,12.0,18.0,10.0,13.0,7.0,9.0,4.0,2.0,4.0,,,,5.0,1.0,7.0,3.0,,,3.0,3.0,8.0,,1.0,5.0,1.0
Smart highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,2.0,,,,,,1.0,,3.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Smartphone,,1.0,,,1.0,,1.0,1.0,5.0,,4.0,,2.0,3.0,5.0,4.0,1.0,5.0,3.0,4.0,5.0,2.0,11.0,2.0,2.0,2.0,8.0,4.0,3.0,2.0,4.0,11.0,3.0,6.0,9.0,8.0,8.0,7.0,12.0,11.0,10.0,3.0,5.0,13.0,15.0,3.0,7.0,7.0,6.0,12.0,8.0,6.0,8.0,16.0,13.0,21.0,,,2.0,209.0,752.0,253.0,212.0,348.0,326.0,140.0,322.0,480.0,116.0,164.0,150.0,161.0,245.0,384.0,461.0,89.0,243.0,111.0,155.0,187.0,121.0,142.0,130.0,87.0,126.0,125.0,101.0,95.0,126.0,66.0,111.0,78.0,135.0,91.0,128.0,116.0,190.0,73.0,93.0,130.0,106.0,138.0,167.0,116.0,87.0,45.0,78.0,105.0,736.0,202.0,182.0,206.0,340.0,79.0,122.0,95.0,71.0,81.0,83.0,59.0,63.0,117.0,97.0,96.0,117.0,97.0,134.0,96.0,52.0,52.0,59.0,51.0
Sodium-cooled fast reactor,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid-state transformer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Sonic weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
Space elevator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,
Space-based solar power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,2.0,,,1.0,8.0,2.0,3.0,,3.0,,,1.0,3.0,2.0,8.0,,,,1.0,,,,,,,,
Spaceplane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,2.0,,6.0,,,,,,,,2.0,,,,,3.0,,,,4.0,2.0,,,,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,1.0
Spintronics,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,3.0,,,,6.0,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,2.0,,,,,
Stablecoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,1.0,1.0,3.0,3.0,,2.0,2.0,,2.0,1.0,5.0,1.0,2.0,4.0,1.0,2.0,1.0,,3.0,2.0,1.0,3.0,2.0,,,,1.0
Stem-cell therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,3.0,1.0,1.0,,1.0,6.0,14.0,1.0,,5.0,1.0,1.0,5.0,21.0,1.0,,,1.0,3.0,,5.0,2.0,2.0,3.0,1.0,2.0,,,1.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,5.0,1.0,2.0,2.0,,1.0,1.0,2.0,4.0,,,,2.0,1.0,2.0,,1.0,1.0,8.0,11.0,7.0,2.0,,,,,,
Streaming television,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Structural health monitoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,1.0,1.0,,3.0,,1.0,1.0,1.0,,,,1.0,,,3.0,,,3.0,,2.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
Superalloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,1.0,1.0,,,,1.0,,,8.0,,,2.0,,,5.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,3.0,2.0,2.0,,,2.0,,1.0,1.0,,1.0,,,,,3.0,2.0,2.0,,2.0,,,,,,1.0,,,,,,,,,,,
Supercapacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,5.0,13.0,,,7.0,2.0,16.0,,1.0,5.0,2.0,5.0,4.0,4.0,4.0,1.0,3.0,1.0,2.0,,1.0,2.0,8.0,,,3.0,1.0,17.0,1.0,,3.0,1.0,1.0,2.0,,1.0,,2.0,1.0,,2.0,,4.0,,,10.0,,,,,,7.0,,1.0,,,,,1.0,,,,1.0,,10.0,,,4.0,,2.0,
Supersonic transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supertall building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suspended animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swarm robotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Synthetic Blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Targeted drug delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,6.0,,,,1.0,,,,,,,3.0,1.0,,,1.0,,,,,,2.0,,1.0,,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Thorium fuel cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,1.0
Transdermal optical imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
Translucent concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triboelectric Nanogenerator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,11.0,,,,,,,,,,,,,,,1.0,1.0,6.0,1.0,,,,,3.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Urban mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
Urban rail transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,4.0,2.0,12.0,1.0,,,3.0,,1.0,4.0,,4.0,,,2.0,5.0,5.0,4.0,8.0,1.0,3.0,1.0,,,,2.0,,2.0,2.0,1.0,6.0,4.0,2.0,7.0,4.0,2.0,5.0,6.0,3.0,6.0,2.0,,3.0,1.0,1.0,,2.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,,,7.0,2.0,,,1.0,,,,1.0
VTOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,2.0,,1.0,,,1.0,1.0,,,,,,4.0,1.0,,1.0,,,,,2.0,5.0,2.0,2.0,,,,3.0,1.0,,1.0,,1.0,,5.0,,1.0,4.0,,,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,2.0,,,4.0,,,,,,,,,,,,,1.0,,,,1.0,
Vactrain,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicular communication systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical farming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,1.0,6.0,4.0,,1.0,,1.0,2.0,,,18.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,5.0,6.0,4.0,10.0,4.0,,5.0,1.0,2.0,7.0,1.0,7.0,2.0,4.0,2.0,5.0,4.0,3.0,4.0,,1.0,2.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,
Video tracking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Virtual power Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,2.0,1.0,4.0,1.0,,1.0,2.0,,,,1.0,3.0,,,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,
Virtual reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,5.0,3.0,2.0,9.0,4.0,7.0,13.0,1.0,14.0,7.0,10.0,18.0,45.0,10.0,25.0,30.0,15.0,46.0,18.0,49.0,50.0,12.0,47.0,29.0,23.0,32.0,25.0,53.0,23.0,32.0,17.0,17.0,45.0,40.0,24.0,12.0,23.0,16.0,32.0,28.0,7.0,15.0,19.0,14.0,8.0,8.0,26.0,17.0,21.0,6.0,16.0,5.0,15.0,4.0,2.0,4.0,9.0,3.0,5.0,5.0,4.0,1.0,7.0,11.0,8.0,3.0,2.0,4.0,19.0,9.0
Virtual reality applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Virtual retinal display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Visible Light Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,4.0,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,2.0,1.0,3.0,,,,,2.0,,,,1.0,3.0,,1.0,,,1.0,,2.0,4.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,
Volumetric display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Wireless power transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,9.0,,2.0,,1.0,,1.0,1.0,1.0,5.0,,5.0,1.0,2.0,2.0,,,,1.0,7.0,4.0,5.0,2.0,,,3.0,,,3.0,5.0,,2.0,15.0,3.0,1.0,6.0,3.0,2.0,1.0,3.0,,2.0,1.0,1.0,6.0,5.0,2.0,,4.0,,1.0,2.0,,,,,,1.0,,,,1.0,,5.0,,,,,
Zero-energy building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
agricultural robot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
aquaponics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,6.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,3.0,2.0,,,2.0,,,,,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,
artificial island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,1.0,,3.0,,,8.0,1.0,2.0,,,,3.0,9.0,,,1.0,,2.0,,2.0,1.0,,3.0,,,,,6.0,,,,,1.0,,,,,,,,,,2.0,4.0,31.0,,,,1.0,3.0,1.0,,1.0,,2.0,,1.0,,2.0,,,,3.0,,,,,,,,1.0
cellular agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
