y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Molecular Inversion Probe,,,,,,1.0,,,,,2.0,3.0,3.0,1.0,6.0,3.0,3.0,2.0,1.0,,2.0,1.0
NASBA,5.0,7.0,2.0,9.0,8.0,5.0,15.0,12.0,13.0,4.0,15.0,6.0,19.0,12.0,9.0,5.0,11.0,4.0,8.0,3.0,,1.0
Off-target genome editing,,,,,,,,,,,,,,,,,,,1.0,,1.0,
Oncolytic virus,3.0,6.0,10.0,15.0,22.0,24.0,40.0,45.0,57.0,65.0,84.0,110.0,128.0,139.0,155.0,156.0,158.0,183.0,220.0,203.0,333.0,90.0
Phage therapy,1.0,5.0,10.0,8.0,4.0,13.0,8.0,11.0,14.0,35.0,34.0,44.0,65.0,63.0,70.0,86.0,120.0,119.0,149.0,186.0,220.0,97.0
Receptor activated solely by a synthetic ligand,,,,,,,,,1.0,1.0,,,5.0,7.0,7.0,12.0,22.0,9.0,21.0,24.0,30.0,10.0
Senolytic,,,,,,,,,,,,,,,1.0,2.0,6.0,19.0,41.0,58.0,97.0,36.0
Stem-cell therapy,,5.0,20.0,23.0,46.0,61.0,91.0,94.0,134.0,183.0,256.0,336.0,327.0,338.0,420.0,347.0,390.0,407.0,376.0,419.0,543.0,125.0
Structurally nanoengineered antimicrobial polypeptide polymers,,1.0,,2.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,10.0,4.0,11.0,11.0,10.0,13.0,12.0,3.0
Targeted drug delivery,15.0,34.0,34.0,48.0,64.0,63.0,75.0,77.0,111.0,155.0,222.0,295.0,362.0,387.0,409.0,414.0,421.0,451.0,422.0,499.0,544.0,158.0
Virotherapy,,1.0,3.0,7.0,12.0,16.0,20.0,19.0,23.0,32.0,48.0,63.0,76.0,75.0,85.0,86.0,102.0,81.0,101.0,101.0,164.0,40.0
Air-launch-to-orbit,,,,,,,,,,,,,,,2.0,2.0,,,,,,
Artificial gravity,2.0,5.0,8.0,8.0,9.0,17.0,12.0,15.0,10.0,14.0,9.0,5.0,11.0,3.0,19.0,17.0,20.0,14.0,18.0,14.0,27.0,7.0
Beam-powered propulsion,,,,,,,,,,,,,,,,,,,,1.0,,
Fusion rocket,,1.0,,3.0,,,,1.0,2.0,,,2.0,2.0,,,,1.0,1.0,,1.0,,
Inflatable space habitat,,,,,,,,,,,,,,,1.0,,,,,,,
Ion thruster,,21.0,13.0,20.0,19.0,25.0,13.0,23.0,22.0,19.0,20.0,19.0,20.0,32.0,16.0,20.0,15.0,26.0,22.0,14.0,20.0,8.0
Launch loop,,,,,,,,,1.0,,,,,,,,,,,,,
Mass driver,,1.0,5.0,3.0,1.0,3.0,1.0,,1.0,2.0,4.0,4.0,5.0,4.0,7.0,1.0,2.0,3.0,1.0,2.0,,1.0
Mini-magnetosphere,,4.0,2.0,1.0,3.0,1.0,2.0,7.0,5.0,3.0,1.0,1.0,,4.0,3.0,,1.0,1.0,1.0,1.0,1.0,
Miniaturized satellite,,,,1.0,1.0,1.0,,,2.0,3.0,3.0,3.0,3.0,9.0,2.0,4.0,7.0,13.0,11.0,18.0,9.0,4.0
Nuclear photonic rocket,,,,,,,,,,,,,,,,,,,,,,
Photon rocket,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,
Photonic laser thruster,,,,,,,,,,,,,,,,,,,,,,
Plasma propulsion engine,,33.0,21.0,22.0,25.0,24.0,10.0,24.0,27.0,26.0,20.0,30.0,16.0,33.0,26.0,25.0,16.0,29.0,26.0,23.0,15.0,8.0
Propellant depot,,,,,,,1.0,1.0,,1.0,,1.0,,,2.0,,,,,,,
Ram accelarator,,,,,,,,,,,,,,,,,,,,,,
Reusable launch system,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,2.0,,1.0,
Reusable rocket technology for orbital rockets,,,,,,,,,,,,,,,,,,,,,,
Skyhook,,7.0,11.0,20.0,10.0,16.0,30.0,20.0,23.0,27.0,26.0,28.0,24.0,26.0,28.0,19.0,14.0,22.0,18.0,11.0,15.0,9.0
Space elevator,,,1.0,1.0,1.0,3.0,3.0,6.0,3.0,3.0,3.0,2.0,7.0,4.0,2.0,3.0,3.0,1.0,5.0,5.0,4.0,2.0
Space gun,,,,,,,,,,,,,,,,,,1.0,,,,
Spaceplane,,5.0,2.0,1.0,3.0,3.0,4.0,6.0,,,1.0,,1.0,3.0,3.0,3.0,6.0,5.0,3.0,3.0,3.0,1.0
StarTram,,,,,,,,,1.0,,,,,,,,,,,,,
Suborbital launch,,1.0,1.0,,2.0,,1.0,3.0,4.0,5.0,11.0,6.0,1.0,4.0,12.0,2.0,5.0,5.0,4.0,3.0,6.0,4.0
Autonomous Rail Rapid Transit,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0
Autonomous vehicle,,25.0,16.0,26.0,48.0,35.0,39.0,63.0,68.0,71.0,60.0,65.0,89.0,85.0,90.0,144.0,158.0,249.0,321.0,425.0,419.0,170.0
Backpack helicopter,,,,,,,,,,,,,,,,,,,,,,
Electric vehicle,,54.0,65.0,95.0,106.0,121.0,191.0,193.0,273.0,316.0,493.0,690.0,924.0,924.0,1034.0,915.0,818.0,924.0,942.0,1094.0,970.0,487.0
Fuel cell,3.0,233.0,341.0,532.0,781.0,879.0,1128.0,1144.0,1281.0,1370.0,1543.0,1507.0,1490.0,1483.0,1448.0,1365.0,1241.0,1345.0,1208.0,1193.0,1279.0,491.0
Fuel cell vehicle,,12.0,27.0,41.0,45.0,46.0,68.0,50.0,58.0,70.0,79.0,74.0,53.0,52.0,50.0,54.0,54.0,61.0,56.0,65.0,91.0,37.0
Hoverbike,,,,,,,,,,,,,,,,,,,,,,
Hovertrain,,,,,,,,,,,,,,,,,,,,,,
Hydrogen vehicle,,,3.0,,2.0,2.0,1.0,2.0,2.0,11.0,9.0,3.0,7.0,1.0,4.0,1.0,1.0,,2.0,3.0,3.0,1.0
Hyperloop,,,,,,,,,,,,,,,,1.0,6.0,13.0,16.0,14.0,19.0,9.0
Intelligent transportation system,,27.0,22.0,34.0,46.0,37.0,43.0,29.0,54.0,68.0,85.0,78.0,93.0,94.0,109.0,107.0,86.0,85.0,111.0,110.0,89.0,48.0
Jetpack,,,,,,,,,,,1.0,1.0,,2.0,3.0,6.0,,2.0,,,,
Maglev,,19.0,41.0,51.0,71.0,79.0,101.0,100.0,111.0,125.0,90.0,134.0,92.0,110.0,103.0,91.0,90.0,108.0,133.0,135.0,131.0,70.0
PAV,5.0,17.0,14.0,17.0,13.0,16.0,11.0,22.0,24.0,24.0,36.0,25.0,34.0,40.0,30.0,44.0,46.0,42.0,64.0,45.0,53.0,17.0
Personal rapid transit,,1.0,,3.0,3.0,5.0,5.0,6.0,8.0,5.0,6.0,9.0,6.0,8.0,4.0,5.0,10.0,12.0,3.0,4.0,,1.0
Physical Internet,,,,,2.0,,2.0,,,,1.0,2.0,6.0,4.0,3.0,13.0,18.0,11.0,14.0,27.0,12.0,11.0
Pulse detonation engine,,16.0,18.0,9.0,17.0,18.0,19.0,22.0,20.0,22.0,18.0,17.0,19.0,19.0,16.0,16.0,10.0,14.0,4.0,10.0,1.0,2.0
Rapid transit,21.0,663.0,795.0,952.0,1099.0,1309.0,1541.0,1716.0,1962.0,2332.0,2615.0,3096.0,3225.0,3378.0,3353.0,3172.0,2908.0,2970.0,2923.0,2886.0,2831.0,1266.0
Rocket transportation,,,,,,,,,,,,,,,,1.0,,,,,,
Supersonic transport,,10.0,8.0,14.0,16.0,8.0,10.0,6.0,5.0,5.0,9.0,6.0,8.0,4.0,6.0,3.0,4.0,4.0,4.0,5.0,6.0,1.0
Urban rail transit,,3.0,8.0,6.0,6.0,10.0,19.0,33.0,29.0,52.0,74.0,130.0,113.0,118.0,118.0,95.0,91.0,79.0,97.0,109.0,129.0,54.0
Vactrain,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,
VTOL,,9.0,12.0,13.0,16.0,9.0,10.0,25.0,23.0,35.0,39.0,48.0,40.0,57.0,59.0,70.0,50.0,58.0,85.0,55.0,59.0,30.0
Thermoacoustic heat engine,,,1.0,,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,,4.0,6.0,2.0,2.0,2.0,,,,
Hyper-personalized intelligence,2.0,132.0,169.0,227.0,267.0,247.0,310.0,378.0,415.0,395.0,431.0,478.0,502.0,502.0,514.0,482.0,487.0,555.0,527.0,540.0,491.0,174.0
