y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Artificial photosynthesis,,3.0,2.0,1.0,5.0,6.0,2.0,3.0,7.0,8.0,12.0,16.0,34.0,38.0,48.0,47.0,55.0,68.0,40.0,60.0,65.0,19.0
Biobattery,,,,,,,,,,,,2.0,1.0,,2.0,3.0,6.0,2.0,1.0,4.0,1.0,1.0
Biomass to liquid,,,,,,,2.0,2.0,1.0,3.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0
Coal liquefaction,,2.0,4.0,3.0,,4.0,4.0,14.0,11.0,6.0,11.0,5.0,4.0,9.0,13.0,5.0,4.0,4.0,1.0,7.0,5.0,2.0
Combined Cycle Gas Turbine Plant,,13.0,12.0,15.0,14.0,12.0,2.0,20.0,12.0,14.0,11.0,23.0,23.0,15.0,22.0,22.0,28.0,37.0,34.0,31.0,34.0,11.0
concentrated solar power,,,,1.0,1.0,,,1.0,4.0,6.0,10.0,21.0,21.0,16.0,35.0,35.0,42.0,42.0,50.0,56.0,55.0,14.0
CZTS solar cell,,,,,,,,,,,,,5.0,6.0,10.0,7.0,6.0,6.0,8.0,4.0,3.0,1.0
Dye-sensitized solar cell,,1.0,2.0,8.0,8.0,17.0,29.0,32.0,47.0,62.0,95.0,131.0,128.0,143.0,146.0,126.0,121.0,106.0,81.0,74.0,60.0,28.0
Electric vehicle battery fast charge,,1.0,,4.0,3.0,12.0,2.0,5.0,3.0,8.0,18.0,40.0,45.0,56.0,62.0,57.0,67.0,59.0,71.0,74.0,79.0,55.0
Energy harvesting,,4.0,7.0,9.0,13.0,31.0,30.0,58.0,107.0,161.0,228.0,303.0,408.0,453.0,533.0,645.0,715.0,754.0,889.0,855.0,848.0,355.0
Floating Liquefied Natural Gas,,1.0,,3.0,1.0,,1.0,,,3.0,1.0,6.0,7.0,15.0,13.0,6.0,6.0,6.0,4.0,6.0,2.0,1.0
Flywheel energy storage,,5.0,5.0,8.0,9.0,12.0,12.0,18.0,7.0,9.0,19.0,31.0,18.0,19.0,20.0,21.0,19.0,29.0,19.0,28.0,18.0,8.0
Fourth-generation biofuel,,,,1.0,,1.0,,1.0,1.0,3.0,7.0,4.0,11.0,22.0,22.0,43.0,32.0,32.0,38.0,54.0,41.0,15.0
Fusion power,,14.0,23.0,11.0,11.0,23.0,15.0,25.0,23.0,24.0,20.0,30.0,17.0,25.0,33.0,22.0,25.0,28.0,31.0,43.0,23.0,15.0
Gas generator,,4.0,6.0,8.0,9.0,13.0,9.0,4.0,9.0,9.0,12.0,13.0,7.0,11.0,13.0,14.0,12.0,9.0,6.0,8.0,8.0,3.0
Gas-cooled fast reactor,,,,,1.0,4.0,3.0,2.0,1.0,2.0,3.0,1.0,,2.0,1.0,2.0,3.0,,,2.0,1.0,1.0
Gasification,,44.0,78.0,95.0,83.0,102.0,109.0,152.0,155.0,184.0,207.0,226.0,219.0,249.0,262.0,284.0,238.0,265.0,255.0,262.0,293.0,101.0
Generation IV reactor,,,2.0,2.0,2.0,2.0,2.0,4.0,,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,1.0
Grid energy storage,,,,1.0,1.0,,,,,1.0,2.0,9.0,15.0,32.0,19.0,42.0,38.0,71.0,53.0,44.0,56.0,22.0
Holograms for solar,,,,,,,,,,,,,,,,,,,,,,
Home fuel cell,,,,,,,,,,,,,,,,,,,,,,
Hydrogen fuel,,3.0,13.0,25.0,27.0,39.0,23.0,24.0,35.0,36.0,46.0,49.0,37.0,42.0,50.0,53.0,48.0,50.0,46.0,69.0,78.0,40.0
Lead-cooled fast reactor,,,,,,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,,2.0,2.0
Liquid fluoride thorium reactor,,,,,,,,,,,,,,2.0,1.0,,,,,,,
Liquid metal battery,,,,,,,,,,,1.0,1.0,1.0,,1.0,4.0,2.0,5.0,2.0,4.0,,2.0
Lithium ion battery,,30.0,40.0,42.0,50.0,72.0,113.0,130.0,140.0,150.0,259.0,310.0,347.0,452.0,544.0,481.0,522.0,545.0,560.0,553.0,546.0,205.0
Lithium iron phosphate battery,,,,,,,,,,,2.0,10.0,6.0,11.0,5.0,12.0,7.0,5.0,5.0,5.0,8.0,8.0
Lithium-air battery,,,,,,,1.0,,1.0,2.0,15.0,22.0,24.0,53.0,46.0,50.0,38.0,34.0,20.0,23.0,19.0,3.0
Lithium-sulfur battery,,,1.0,,1.0,2.0,,,,1.0,1.0,3.0,7.0,17.0,20.0,25.0,28.0,34.0,38.0,46.0,43.0,14.0
Magnesium battery,,,1.0,1.0,,1.0,1.0,,2.0,4.0,2.0,4.0,4.0,5.0,10.0,9.0,5.0,8.0,10.0,6.0,4.0,
Microbial electrolysis cell,,,,,,,,,,1.0,9.0,12.0,11.0,5.0,14.0,11.0,12.0,21.0,19.0,15.0,26.0,8.0
Microreactor,1.0,13.0,11.0,16.0,21.0,34.0,27.0,45.0,34.0,51.0,54.0,54.0,51.0,79.0,56.0,63.0,55.0,65.0,59.0,62.0,72.0,21.0
Mini Bioreactors,1.0,6.0,5.0,1.0,5.0,,2.0,4.0,4.0,2.0,2.0,2.0,5.0,10.0,4.0,11.0,3.0,4.0,,6.0,,4.0
Modular Reactors,,,1.0,,,1.0,,,2.0,2.0,2.0,8.0,11.0,11.0,25.0,7.0,8.0,21.0,10.0,13.0,9.0,6.0
Molten salt reactor,,,3.0,,2.0,2.0,,3.0,6.0,3.0,2.0,3.0,2.0,6.0,6.0,5.0,5.0,8.0,14.0,9.0,10.0,7.0
Nanocharging Solar,,,,,,,,,,,,,,,,,,,,,,
Nanowire battery,,,,,,,,,,,,,,1.0,1.0,,,,,,,
Ocean thermal energy conversion,,2.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,12.0,12.0,12.0,12.0,9.0,7.0,16.0,11.0,13.0,16.0,3.0
Oil detection,,11.0,19.0,28.0,20.0,20.0,26.0,21.0,21.0,52.0,43.0,65.0,62.0,62.0,65.0,53.0,36.0,42.0,48.0,33.0,32.0,23.0
Optical rectenna,,1.0,4.0,3.0,5.0,5.0,6.0,8.0,7.0,9.0,19.0,22.0,17.0,23.0,18.0,16.0,17.0,17.0,16.0,16.0,7.0,6.0
Organic solar cell,,,,,3.0,4.0,7.0,10.0,14.0,16.0,25.0,34.0,25.0,42.0,50.0,40.0,33.0,43.0,43.0,32.0,48.0,10.0
Perovskite solar cell,,,,,,,,,,,,,,2.0,24.0,54.0,74.0,80.0,92.0,75.0,82.0,32.0
Power-to-X,,,,,,,,,,1.0,,,,,,,,2.0,2.0,7.0,5.0,3.0
Proton Battery,,1.0,,,,,,,,,,,,,,2.0,3.0,,1.0,,2.0,3.0
Quantum dot solar cell,,1.0,,,,1.0,,,1.0,5.0,2.0,8.0,6.0,9.0,6.0,4.0,4.0,8.0,9.0,2.0,3.0,2.0
second-generation biofuels,,,1.0,,1.0,,7.0,10.0,20.0,26.0,43.0,44.0,38.0,33.0,50.0,41.0,42.0,29.0,15.0,25.0,22.0,9.0
Smart grid,,,,,3.0,1.0,6.0,1.0,17.0,86.0,369.0,573.0,756.0,748.0,803.0,815.0,716.0,678.0,683.0,637.0,478.0,234.0
Sodium-cooled fast reactor,,,,1.0,,,1.0,2.0,4.0,4.0,8.0,11.0,8.0,10.0,9.0,12.0,8.0,12.0,4.0,2.0,4.0,2.0
Space-based solar power,,,,1.0,1.0,1.0,1.0,,1.0,3.0,3.0,1.0,4.0,5.0,2.0,4.0,1.0,2.0,4.0,1.0,4.0,2.0
Supercapacitor,,11.0,15.0,12.0,26.0,41.0,64.0,75.0,69.0,121.0,115.0,179.0,256.0,337.0,525.0,613.0,624.0,860.0,876.0,1067.0,1068.0,421.0
Supercritical water reactor,,,,,,1.0,1.0,,,2.0,2.0,1.0,,6.0,4.0,2.0,2.0,,,2.0,,
Third-generation biofuels,,,,,,,,,,,3.0,5.0,5.0,8.0,9.0,11.0,10.0,6.0,11.0,7.0,9.0,2.0
Thorium fuel cycle,,,2.0,,,4.0,,1.0,2.0,2.0,,3.0,3.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,,
Triboelectric Nanogenerator,,,,,,,,,,,,,,12.0,18.0,46.0,41.0,65.0,98.0,101.0,129.0,61.0
