y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Senolytic,,,,,,,,,,,,,,,,2.0,10.0,16.0,26.0,29.0,55.0,25.0
Stem-cell therapy,1.0,6.0,17.0,27.0,46.0,53.0,61.0,68.0,94.0,121.0,183.0,245.0,253.0,264.0,284.0,309.0,318.0,263.0,303.0,318.0,403.0,103.0
Structurally nanoengineered antimicrobial polypeptide polymers,,2.0,,2.0,2.0,3.0,,1.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,2.0,8.0,5.0,8.0,3.0,3.0,3.0
Targeted drug delivery,11.0,43.0,30.0,40.0,63.0,59.0,77.0,63.0,127.0,137.0,230.0,257.0,296.0,358.0,388.0,368.0,372.0,432.0,452.0,431.0,552.0,158.0
Virotherapy,1.0,2.0,4.0,5.0,16.0,19.0,25.0,12.0,31.0,58.0,58.0,51.0,70.0,60.0,63.0,93.0,86.0,78.0,94.0,93.0,113.0,44.0
Air-launch-to-orbit,,,,,,,,,,,,,,,1.0,,,,,1.0,,
Artificial gravity,1.0,,,2.0,3.0,2.0,2.0,4.0,7.0,4.0,6.0,3.0,3.0,7.0,3.0,6.0,7.0,6.0,6.0,3.0,8.0,3.0
Beam-powered propulsion,,,,,,,,,,,,,,,,1.0,,,,,,
Fusion rocket,,,,,,1.0,1.0,2.0,,1.0,,,1.0,,,1.0,1.0,,,1.0,,
Inflatable space habitat,,,,,,,,,,,,,,,,,,,,,,
Ion thruster,,8.0,4.0,7.0,4.0,11.0,11.0,10.0,13.0,12.0,7.0,6.0,9.0,11.0,9.0,6.0,6.0,11.0,8.0,8.0,7.0,5.0
Launch loop,,,,,,,,,,,,,,,,,,,,,,
Mass driver,,,,,2.0,1.0,,1.0,1.0,,3.0,1.0,,1.0,2.0,2.0,,2.0,2.0,,,2.0
Mini-magnetosphere,,2.0,,1.0,1.0,,,1.0,1.0,,,,1.0,3.0,,1.0,1.0,2.0,1.0,,1.0,
Miniaturized satellite,,1.0,,4.0,1.0,1.0,1.0,,3.0,,1.0,2.0,3.0,6.0,3.0,3.0,6.0,15.0,11.0,16.0,9.0,5.0
Nuclear photonic rocket,,,,,,,,,,1.0,,,,,,,,,,,,
Photon rocket,,,,1.0,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,
Photonic laser thruster,,,,,,,,,,,,,,,,,,,,,,
Plasma propulsion engine,,14.0,8.0,13.0,13.0,5.0,9.0,8.0,10.0,11.0,8.0,19.0,8.0,12.0,21.0,16.0,8.0,13.0,13.0,11.0,9.0,1.0
Propellant depot,,,,,,,,,,1.0,,1.0,,,,,,,,,,
Ram accelarator,,,,,,,,,,,,,,,,,,,,,,
Reusable launch system,,1.0,,,,,,,,,,1.0,,,,,,,,,,
Reusable rocket technology for orbital rockets,,,,,,,,,,,,,,,,,,,,,,
Skyhook,,2.0,2.0,,6.0,6.0,5.0,3.0,4.0,7.0,4.0,2.0,9.0,2.0,8.0,5.0,2.0,7.0,5.0,7.0,6.0,6.0
Space elevator,,,1.0,1.0,7.0,4.0,8.0,3.0,2.0,4.0,5.0,,2.0,,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0
Space gun,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0
Spaceplane,,2.0,,1.0,,2.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,,2.0,4.0,1.0,1.0,4.0,1.0,
StarTram,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,
Suborbital launch,,,,3.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,3.0,6.0,7.0,1.0,1.0,4.0,2.0,2.0,2.0
Autonomous Rail Rapid Transit,,,,,,,,,,,,,,,,,,,,1.0,1.0,
Autonomous vehicle,,6.0,5.0,9.0,13.0,10.0,22.0,23.0,27.0,28.0,23.0,35.0,35.0,45.0,44.0,66.0,86.0,135.0,151.0,183.0,184.0,84.0
Backpack helicopter,,,,,,,,,,,,,,,,,,,,,,
Electric vehicle,,35.0,57.0,48.0,60.0,77.0,96.0,111.0,147.0,184.0,278.0,395.0,517.0,546.0,601.0,562.0,514.0,529.0,587.0,661.0,603.0,298.0
Fuel cell,3.0,182.0,282.0,367.0,543.0,640.0,793.0,767.0,853.0,1082.0,1110.0,1133.0,1132.0,1066.0,1110.0,1124.0,978.0,1100.0,932.0,1010.0,1074.0,427.0
Fuel cell vehicle,,9.0,15.0,18.0,41.0,32.0,45.0,30.0,37.0,45.0,47.0,60.0,41.0,42.0,48.0,36.0,31.0,43.0,41.0,52.0,49.0,31.0
Hoverbike,,,,,,,,,,,,,,,,,,,,,,
Hovertrain,,,,,,,,,,,,,,,,,,,,,,
Hydrogen vehicle,,1.0,1.0,,,2.0,2.0,1.0,,2.0,3.0,,2.0,1.0,4.0,,1.0,,,1.0,2.0,1.0
Hyperloop,,,,,,,,,,,,,,,,2.0,4.0,13.0,15.0,12.0,17.0,5.0
Intelligent transportation system,,12.0,9.0,17.0,15.0,20.0,19.0,18.0,23.0,34.0,33.0,53.0,71.0,61.0,60.0,65.0,56.0,68.0,73.0,89.0,51.0,39.0
Jetpack,,,,,,,,,1.0,1.0,1.0,1.0,,4.0,3.0,4.0,2.0,,2.0,1.0,1.0,
Maglev,,21.0,40.0,42.0,43.0,60.0,81.0,40.0,60.0,47.0,41.0,54.0,50.0,53.0,56.0,52.0,50.0,62.0,77.0,73.0,59.0,32.0
PAV,1.0,8.0,4.0,5.0,9.0,12.0,13.0,13.0,6.0,16.0,15.0,19.0,15.0,29.0,24.0,22.0,24.0,17.0,30.0,26.0,22.0,12.0
Personal rapid transit,,2.0,2.0,3.0,2.0,6.0,1.0,8.0,7.0,13.0,10.0,3.0,4.0,8.0,10.0,5.0,7.0,7.0,2.0,4.0,1.0,1.0
Physical Internet,,,,,,1.0,,,1.0,1.0,,1.0,1.0,2.0,5.0,14.0,19.0,8.0,8.0,23.0,10.0,8.0
Pulse detonation engine,,5.0,8.0,3.0,5.0,3.0,4.0,7.0,7.0,8.0,4.0,4.0,4.0,5.0,5.0,4.0,7.0,6.0,2.0,7.0,1.0,
Rapid transit,14.0,434.0,494.0,542.0,701.0,732.0,873.0,851.0,1007.0,1118.0,1211.0,1365.0,1408.0,1386.0,1596.0,1412.0,1391.0,1254.0,1236.0,1243.0,1176.0,490.0
Rocket transportation,,,,,,1.0,,,,,,,,,,,,,,,,
Supersonic transport,1.0,1.0,2.0,2.0,3.0,,2.0,2.0,2.0,2.0,4.0,,3.0,,2.0,3.0,,1.0,6.0,4.0,2.0,2.0
Urban rail transit,,3.0,3.0,3.0,2.0,5.0,7.0,16.0,14.0,10.0,24.0,40.0,45.0,39.0,37.0,38.0,37.0,38.0,37.0,43.0,50.0,18.0
Vactrain,,,,,,,,,,,,,,,,,,2.0,,,,
VTOL,,3.0,5.0,6.0,7.0,8.0,9.0,14.0,11.0,8.0,22.0,13.0,11.0,30.0,29.0,31.0,25.0,48.0,36.0,29.0,30.0,29.0
Thermoacoustic heat engine,,,1.0,1.0,1.0,,,2.0,,1.0,,1.0,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,,
Hyper-personalized intelligence,,76.0,104.0,136.0,166.0,159.0,170.0,194.0,221.0,236.0,233.0,260.0,263.0,276.0,299.0,284.0,303.0,347.0,314.0,329.0,295.0,116.0
