,5g,open_source_model,quadcopter,e-reader,smartphone,electronic cigarette,cryptocurrency
2009-Aug,0.00017505981210246834,0.0,0.00017505981210246834,0.00023341308280329116,0.0008752990605123418,0.0,0.0
2009-Sep,0.0,0.0,0.0,6.350012700025401e-05,0.002667005334010668,0.0,0.0
2009-Oct,0.0,0.0,0.0,0.00045504778001690185,0.002340245725801209,0.0007215007215007215,0.0
2009-Nov,0.0,6.351626016260163e-05,0.0,0.0,0.0009527439024390244,0.0,0.0
2009-Dec,0.0,7.680491551459293e-05,0.0,0.00030721966205837174,0.0009216589861751152,0.0,0.0
2010-Jan,0.0,0.0,0.0,0.0002310536044362292,0.003985674676524954,0.0,0.0022984102662325224
2010-Feb,0.0,0.0,0.0,0.00039429585332194264,0.004140106459880397,0.0,0.0
2010-Mar,0.0,0.0,0.0,0.00011367511651699443,0.001364101398203933,0.0,0.0
2010-Apr,0.0,0.0,0.0,0.0002689437235258522,0.0018153701337995023,0.0,0.0
2010-May,0.0,0.0,0.0,7.063144511936714e-05,0.0019070490182229128,0.0,0.0
2010-Jun,0.0,0.0,0.0,0.000462962962962963,0.0030092592592592593,0.0,0.0
2010-Jul,0.0,0.0,0.0,6.906554320049727e-05,0.002071966296014918,0.0,0.0
2010-Aug,0.0,0.0,0.00020769869842148992,0.0003461644973691498,0.002907781777900859,0.0,0.0
2010-Sep,0.0001973294744458331,0.0,0.0,0.0003946589488916661,0.002762612642241663,0.0,0.0
2010-Oct,0.0,0.0,0.0,0.000212781048301298,0.0034044967728207674,0.0,0.0
2010-Nov,0.0,6.760411032990805e-05,0.00020281233098972418,0.00020281233098972418,0.0036506219578150353,0.0,0.0
2010-Dec,0.0,0.0,0.0,8.993614533681087e-05,0.002698084360104326,0.0,0.0
2011-Jan,0.0,0.0,0.00020289463005545788,0.00033815771675909637,0.004869471121330989,0.0024844720496894407,0.0
2011-Feb,0.0,0.0,0.0,6.920894179527995e-05,0.005398297460031836,0.001926782273603083,0.0
2011-Mar,0.0,0.0,0.0,6.503219093451258e-05,0.0033166417376601413,0.0,0.0
2011-Apr,0.0,0.0,0.0,0.000299625468164794,0.0022471910112359553,0.0,0.0
2011-May,0.0,0.0,0.0,0.00015319800842589047,0.0027575641516660284,0.0,0.0
2011-Jun,0.0,0.0,0.0,0.00023533103231879513,0.004235958581738312,0.0,0.0
2011-Jul,0.0,0.0,0.0,0.0,0.0038753431293395775,0.0,0.0
2011-Aug,0.0,0.0,0.0,0.0,0.005363805970149254,0.0,0.0
2011-Sep,0.0,0.0,0.0,0.00028022978842650974,0.0048339638503572925,0.00035460992907801415,0.0
2011-Oct,0.0,0.0,0.0,0.0003788739865120861,0.004319163446237781,0.0013596193065941536,0.0
2011-Nov,0.0,0.0,0.0,0.00015070454374199385,0.0033908522341948607,0.00029806259314456036,0.0
2011-Dec,0.0,0.0,0.00029328380095806043,0.00039104506794408056,0.0043992570143709065,0.0,0.0
2012-Jan,0.0,0.0,0.0,0.0002055216825375077,0.009659519079262862,0.0007209805335255949,0.0
2012-Feb,0.0,0.0,0.0,0.0,0.009149440867502542,0.0,0.0
2012-Mar,0.0,0.0,0.0,0.00020083009773731424,0.004418262150220913,0.0,0.0
2012-Apr,0.0,0.0,0.0,6.444544692917445e-05,0.005026744860475607,0.0004116920543433511,0.0
2012-May,0.0,6.012144531954548e-05,0.0,0.000240485781278182,0.005050201406841821,0.0,0.0
2012-Jun,0.00020468035750835777,0.0,0.0,0.0007504946441973119,0.0038889267926587976,0.0,0.0
2012-Jul,0.0,0.0,0.0,0.0003741348132443724,0.0061732244185321436,0.0,0.0
2012-Aug,0.0,0.0,0.0,0.0003773991805046366,0.005175760189777875,0.0,0.0
2012-Sep,0.0,0.0,0.0,0.0004618328165204196,0.00514613709837039,0.0,0.0
2012-Oct,0.0,0.0,0.0,0.001152604887044721,0.0051867219917012455,0.0,0.0
2012-Nov,0.0,0.0,0.0,5.910514805839588e-05,0.0039009397718541283,0.0026766595289079227,0.0
2012-Dec,0.0,0.0,0.0,0.0004887585532746823,0.003142019271051529,0.002936857562408223,0.0
2013-Jan,0.0,0.0,0.00015851209975694812,0.00010567473317129874,0.006498996090034873,0.0009124087591240877,0.0
2013-Feb,0.00017265193370165745,0.0,0.0,0.0006330570902394107,0.007941988950276244,0.002491103202846975,0.0
2013-Mar,0.0,5.916109566349169e-05,0.00017748328699047507,0.0007690942436253919,0.006211915044666627,0.0024364775495997215,0.0
2013-Apr,0.0,0.0,0.0,0.00027194604590449257,0.004568693571195475,0.0007791195948578108,0.0
2013-May,0.0,0.0,0.0,0.00027025566185611593,0.006486135884546781,0.004417261297995243,0.0
2013-Jun,0.0,0.0,0.0,0.00035805931849376384,0.006087008414393985,0.002165674066053059,0.0
2013-Jul,0.0,0.0,0.0,5.5601890464275794e-05,0.004837364470391993,0.004050222762251924,0.0
2013-Aug,0.0,0.0,0.00015720798616569725,5.240266205523241e-05,0.006445527432793586,0.009316770186335404,0.0
2013-Sep,0.0,0.0,0.0001503608660785886,0.00025060144346431435,0.008269847634322373,0.006539833531510107,0.0
2013-Oct,0.0,0.0,0.0,0.0003451676528599605,0.005029585798816568,0.0020242914979757085,0.0
2013-Nov,0.0,0.0,0.0,0.00036845983787767134,0.0041056953363511955,0.006060606060606061,0.0
2013-Dec,0.0,0.0,0.0,0.0007514559458951719,0.004133007702423445,0.0034141345168999656,0.0
2014-Jan,0.0,0.0,4.776917932549919e-05,0.00023884589662749594,0.008455144740613357,0.004230565838180857,0.0
2014-Feb,0.00014651299081851923,0.0,4.883766360617308e-05,0.00043953897245555765,0.00937683141238523,0.008833100883310088,0.0
2014-Mar,0.0,0.0,0.0001601024655779699,0.0001601024655779699,0.004642971501761128,0.0044543429844098,0.0
2014-Apr,0.0,0.0,5.446029844243546e-05,0.00027230149221217734,0.006861997603746868,0.005777961205117622,0.0
2014-May,0.0,0.0,0.0002047397246250704,0.0001023698623125352,0.004606643804064083,0.0024330900243309003,0.0
2014-Jun,0.00030570132980078463,0.0,0.0,0.00030570132980078463,0.006266877260916085,0.0024892509617560534,0.0
2014-Jul,0.0,5.385609651012495e-05,0.0,0.00032313657906074967,0.006947436449806118,0.0028842192006592504,0.0
2014-Aug,0.0,0.0,0.0,0.0005055611729019212,0.005118806875631952,0.0028704700394689632,0.0
2014-Sep,0.0,0.0,0.0,0.0002644942869234025,0.00856961489631824,0.0011664074650077762,0.00019440124416796267
2014-Oct,0.0,5.711348449368896e-05,0.0,0.0005140213604432006,0.004626192243988806,0.002198768689533861,0.0
2014-Nov,0.00017511090357226244,0.0,0.0,0.0005837030119075414,0.007704879757179547,0.002559726962457338,0.0
2014-Dec,0.0,0.0001408946812257837,7.044734061289187e-05,0.0003522367030644593,0.005706234589644241,0.0019371502367628065,0.0
2015-Jan,0.0006134655692449261,0.0,0.0005112213077041051,0.00010224426154082102,0.009662082715607586,0.004357298474945534,0.0
2015-Feb,0.0003960918933192501,6.601531555320834e-05,0.0,0.0001320306311064167,0.006931608133086875,0.0014015416958654521,0.0
2015-Mar,0.0007313505607020966,0.0,4.875670404680644e-05,0.0001462701121404193,0.011262798634812287,0.0012091898428053204,0.0
2015-Apr,0.0,0.0,0.0,0.00023337222870478414,0.009451575262543758,0.006148686416992733,0.0016769144773616546
2015-May,0.0,0.0,0.00041302808590984187,5.900401227283454e-05,0.006195421288647628,0.00340522133938706,0.0
2015-Jun,0.0,0.0,5.550929780738274e-05,0.00016652789342214822,0.0061615320566194825,0.003106796116504854,0.0
2015-Jul,0.0,0.0,0.0,6.035731530661516e-05,0.0070618058908739735,0.005046863734679164,0.0
2015-Aug,0.000177999288002848,0.0,0.000177999288002848,0.0002966654800047466,0.006585973656105376,0.0031201248049922,0.0
2015-Sep,0.00016278691193228064,0.0,0.00021704921590970749,0.0,0.009441640892072277,0.004613610149942329,0.0
2015-Oct,0.00034831069313827936,0.0,0.0,0.00040636247532799263,0.006443747823058168,0.005786249149081007,0.0
2015-Nov,0.0005293494882954948,5.8816609810610524e-05,0.0,0.0,0.005293494882954946,0.0028169014084507044,0.0
2015-Dec,0.0003816308357715303,0.0,0.0,0.00012721027859051014,0.005342831700801425,0.0033042955842595375,0.0
2016-Jan,0.0,0.0,0.00010333247222939809,0.00015499870834409713,0.0065099457504520794,0.007234042553191489,0.0
2016-Feb,0.0009743875278396436,0.0,4.6399406087602083e-05,0.0,0.009465478841870824,0.004319032536711776,0.0
2016-Mar,0.0,0.0,5.448403617740002e-05,0.0,0.006211180124223602,0.009135628952916374,0.0010541110330288123
2016-Apr,0.0002977224234605269,0.0,0.0,0.0002977224234605269,0.004912419987098696,0.005608524957936062,0.0
2016-May,0.00036507453605111036,0.0,0.0002433830240340736,0.0001216915120170368,0.007118953452996653,0.003020235578375113,0.0009060706735125339
2016-Jun,0.0,0.0,0.0,0.00021662604928242619,0.0061738424045491465,0.004725554343874954,0.0010905125408942201
2016-Jul,0.0003899504205893822,0.0,0.0,0.0,0.007186229179432901,0.0017059024223814397,0.0
2016-Aug,0.0,0.0,0.0003009177992878278,5.015296654797132e-05,0.006168814885400472,0.002618780396558174,0.0
2016-Sep,0.0005779790000963298,4.816491667469416e-05,0.0002889895000481649,0.0,0.009103169251517195,0.0005270092226613966,0.0
2016-Oct,0.00032157787544216963,0.0,0.0,5.359631257369493e-05,0.008521813699217494,0.0036925142665323934,0.0
2016-Nov,0.0007316359379572724,9.7551458394303e-05,4.87757291971515e-05,0.000195102916788606,0.005706760316066725,0.002727582679849983,0.0
2016-Dec,0.0005514367992157344,0.00012254151093682986,0.0,0.0,0.005146743459346854,0.004236433326608837,0.0
2017-Jan,0.00043668122270742364,0.0,0.0,0.00014556040756914118,0.006404657933042211,0.0022605836415947387,0.0
2017-Feb,0.0006691947356680794,5.5766227972339954e-05,0.0,5.5766227972339954e-05,0.009536024983270129,0.0028567541831043394,0.0004081077404434771
2017-Mar,0.0007939808688419221,3.7808612801996296e-05,3.7808612801996296e-05,0.00022685167681197777,0.005898143597111422,0.0031272552321385616,0.0
2017-Apr,0.00014378145219266715,0.0,0.0,0.00019170860292355618,0.00603882099209202,0.0030336458907887476,0.0004136789851075565
2017-May,0.0,4.651162790697674e-05,4.651162790697674e-05,4.651162790697674e-05,0.004744186046511628,0.0006511264487563485,0.00039067586925380907
2017-Jun,0.00015169902912621358,0.0,0.0,0.00040453074433656965,0.0031856796116504853,0.00236630383341221,0.000473260766682442
2017-Jul,0.0005902026362384419,4.9183553019870145e-05,9.836710603974029e-05,4.9183553019870145e-05,0.004278969112728704,0.0030514385353095025,0.002179598953792502
2017-Aug,0.00013946353028683,0.0,0.0,0.0,0.00543907768118637,0.001284796573875803,0.0017130620985010708
2017-Sep,0.0005724644594981395,0.0,4.7705371624844956e-05,0.0001431161148745349,0.006153992939604999,0.001278772378516624,0.002877237851662404
2017-Oct,0.0009414225941422594,5.230125523012552e-05,5.230125523012552e-05,0.0006276150627615063,0.005648535564853557,0.003090712409210323,0.005408746716118065
2017-Nov,0.000329561682961661,0.0,0.0,0.000329561682961661,0.004449082719982424,0.0011935208866155158,0.004774083546462063
2017-Dec,0.0007059654076950228,0.0,5.8830450641251905e-05,0.00011766090128250381,0.0038828097423226258,0.003881384878124515,0.01071262226362366
2018-Jan,0.0006043513295729251,0.0,5.036261079774375e-05,0.000201450443190975,0.006194601128122482,0.0010156867170748223,0.014558176278072451
2018-Feb,0.0008636821649632934,0.0,4.798234249796075e-05,9.59646849959215e-05,0.006621563264718584,0.003540928973130598,0.007498437825453031
2018-Mar,0.0008672191173636539,0.0,0.0,0.00019271535941414532,0.003757949508575834,0.003270184934596301,0.010148849797023005
2018-Apr,0.00047301203552845955,0.0,0.0,0.0,0.003941766962737164,0.004166666666666667,0.008045977011494253
2018-May,0.0006337805006865955,0.0,0.0,0.0,0.005070244005492764,0.00412618128577133,0.003327565553041395
2018-Jun,0.0006630566913471103,5.525472427892585e-05,0.0,0.00016576417283677754,0.004807161012266549,0.005152224824355972,0.003747072599531616
2018-Jul,0.0007865345288658173,0.0,0.0,0.0001048712705154423,0.003460751927009596,0.008106001558846453,0.004676539360872954
2018-Aug,0.0012970869588715345,0.0,0.0002161811598119224,0.0,0.006647570664216613,0.00852704123350076,0.00035042635206167504
2018-Sep,0.0018653552653891809,0.0,0.0,0.0,0.004917754790571477,0.004373005554898948,0.002127408107788677
2018-Oct,0.0016043638697256536,0.0,0.00016043638697256537,0.00016043638697256537,0.004331782448259265,0.003702846563295533,0.0017357093265447814
2018-Nov,0.0019858781994704323,0.0,0.0,5.516328331862313e-05,0.002978817299205649,0.0038827655310621247,0.0007515030060120241
2018-Dec,0.0017124176223340774,0.0,0.0,5.189144310103264e-05,0.0042032068911836435,0.005701990317374932,0.0009682625067240451
2019-Jan,0.002742481031172868,0.0,0.0,4.570801718621446e-05,0.005073589907669806,0.006980802792321117,0.0017452006980802793
2019-Feb,0.005855385593028006,0.0,0.0,0.0,0.00694475965684717,0.004512214096779212,0.0023339038431616616
2019-Mar,0.002526371775551813,0.0,0.0,8.864462370357238e-05,0.003457140324439323,0.0037070177681196477,0.000766969193404065
2019-Apr,0.0036440935317339812,0.0,5.061241016297196e-05,0.0,0.004099605223200729,0.00615447738229562,0.001230895476459124
2019-May,0.002626751167444964,0.00012508338892595064,4.169446297531688e-05,0.00012508338892595064,0.0032521681120747164,0.0024364775495997215,0.00041768186564566657
2019-Jun,0.002820952486310084,5.531279384921732e-05,0.0,0.00022125117539686928,0.002986890867857736,0.0035108687532680962,0.004706058116082767
2019-Jul,0.002090046155185927,0.0,4.354262823304015e-05,0.0,0.003265697117478011,0.00325433321542271,0.0006367173682348779
2019-Aug,0.0008839127872716559,9.821253191907288e-05,0.0,9.821253191907288e-05,0.003535651149086624,0.0035393690689920496,0.0001538856116953065
2019-Sep,0.00299557795635015,0.0,0.0,0.0,0.004707336788550235,0.003920403920403921,0.0010692010692010692
2019-Oct,0.0021164021164021165,8.818342151675486e-05,0.0,0.00017636684303350968,0.0046296296296296285,0.0012670417110131266,0.0004561350159647256
2019-Nov,0.002012578616352201,4.1928721174004184e-05,0.0,0.0,0.0028930817610062893,0.001706380644768115,0.0010969589859223597
2019-Dec,0.002555110220440882,5.0100200400801596e-05,0.0,0.0,0.002555110220440882,0.0016470088194665816,0.0007969397513547976
2020-Jan,0.002405002405002405,0.0,0.0,0.0,0.0038480038480038477,0.0010657193605683837,0.0010657193605683837
2020-Feb,0.002564979480164159,4.274965800273598e-05,0.0,0.0,0.0029497264021887824,0.0005227391531625719,0.0011761630946157866
2020-Mar,0.0013363570097999515,0.0,0.0,0.0,0.003523123025836235,0.000758150113722517,0.0013646702047005307
2020-Apr,0.0014461315979754155,4.820438659918053e-05,0.0,0.0001928175463967221,0.004772234273318872,0.0028085504758932752,0.0009361834919644251
2020-May,0.001795063575168287,7.479431563201197e-05,0.0,0.0,0.004038893044128646,0.0019504040122596822,0.00027862914460852607
2020-Jun,0.0,0.0,0.0,0.0,0.008097165991902834,0.0027038565532944356,0.00064038707841184
2020-Jul,0.0,0.0,0.0,0.0,0.0,0.0017365298345472964,0.0004341324586368241
2020-Aug,0.0,0.0,0.0,0.0,0.0019047619047619048,0.001137764293163933,0.000711102683227458
2020-Sep,0.002895752895752896,0.0,0.0,0.0,0.003474903474903475,0.0015085024684585847,0.003908392759188152
