,created_at,id,id_str,text,truncated,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,possibly_sensitive,extended_entities
profile_sidebar_fill_color,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,DDEEF6,,,,,,False,0,0,False,False,en,False,
profile_text_color,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,333333,,,,,,False,0,0,False,False,en,False,
profile_use_background_image,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,True,,,,,,False,0,0,False,False,en,False,
has_extended_profile,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,True,,,,,,False,0,0,False,False,en,False,
default_profile,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,True,,,,,,False,0,0,False,False,en,False,
default_profile_image,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,False,,,,,,False,0,0,False,False,en,False,
following,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,,,,,,,False,0,0,False,False,en,False,
follow_request_sent,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,,,,,,,False,0,0,False,False,en,False,
notifications,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,,,,,,,False,0,0,False,False,en,False,
translator_type,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,none,,,,,,False,0,0,False,False,en,False,
